SMSA,name,cbsa,state,full_name
5880,Oklahoma City,36420,OK,"Oklahoma City, OK"
7400,San Jose,41940,CA,"San Jose, CA"
7360,San Francisco,41884,CA,"San Francisco, CA"
5640,Newark,35084,NJ,"New York, NY"
5720,Virginia Beach,47260,VA,"Virginia Beach, VA"
6780,Riverside,40140,CA,"Riverside, CA"
7040,St. Louis,41180,MO,"St. Louis, MO"
1680,Cleveland,17460,OH,"Cleveland, OH"
7600,Seattle,42644,WA,"Seattle, WA"
5000,Miami,33124,FL,"Miami-Fort Lauderdale, FL"
1120,Boston,14454,MA,"Boston, MA"
3760,Kansas City,28140,MO,"Kansas City, MO"
6280,Pittsburgh,38300,PA,"Pittsburgh, PA"
8280,Tampa,45300,FL,"Tampa, FL"
720,Baltimore,12580,MD,"Baltimore, MD"
7320,San Diego,41740,CA,"San Diego, CA"
520,Atlanta,12060,GA,"Atlanta, GA"
1920,Dallas,19124,TX,"Dallas-Fort Worth, TX"
6200,Phoenix,38060,AZ,"Phoenix, AZ"
5600,New York,35614,NY,"New York, NY"
360,Anaheim,11244,CA,"Los Angeles, CA"
5120,Minneapolis,33460,MN,"Minneapolis-St Paul, MN"
5775,Oakland,36084,CA,"San Francisco, CA"
3360,Houston,26420,TX,"Houston, TX"
8840,Washington,47894,DC,"Washington, DC"
5380,Nassau-Suffolk,35004,NY,"New York, NY"
6160,Philadelphia,37964,PA,"Philadelphia, PA"
1600,Chicago,16974,IL,"Chicago, IL"
2160,Detroit,19804,MI,"Detroit, MI"
4480,Los Angeles,31084,CA,"Los Angeles, CA"
