"SMSA","Year","total","renters"
360,1985,250,49
360,1987,214,42
360,1989,255,49
360,1991,230,54
360,1993,282,67
360,1995,226,53
360,1997,212,54
360,1999,212,50
360,2001,230,56
360,2003,223,45
360,2005,208,35
360,2007,192,32
360,2009,194,37
360,2011,219,41
360,2013,210,45
520,1985,237,30
520,1987,200,33
520,1989,271,58
520,1991,200,37
520,1993,280,47
520,1995,230,47
520,1997,146,24
520,1999,197,48
520,2001,194,42
520,2003,197,53
520,2005,221,57
520,2007,169,35
520,2009,161,33
520,2011,199,61
520,2013,195,54
720,1985,242,49
720,1987,210,43
720,1989,259,56
720,1991,201,43
720,1993,290,54
720,1995,224,40
720,1997,186,32
720,1999,191,39
720,2001,180,35
720,2003,175,28
720,2005,201,31
720,2007,157,28
720,2009,156,26
720,2011,204,54
720,2013,197,48
1120,1985,224,12
1120,1987,203,12
1120,1989,270,20
1120,1991,212,24
1120,1993,277,22
1120,1995,208,18
1120,1997,188,15
1120,1999,188,6
1120,2001,202,16
1120,2003,216,22
1120,2005,189,11
1120,2007,155,6
1120,2009,167,14
1120,2011,192,11
1120,2013,181,13
1600,1985,510,35
1600,1987,459,21
1600,1989,553,32
1600,1991,476,31
1600,1993,580,35
1600,1995,1063,55
1600,1997,439,30
1600,1999,1010,81
1600,2001,419,25
1600,2003,1043,66
1600,2005,436,28
1600,2007,386,22
1600,2009,512,51
1600,2011,456,51
1600,2013,468,53
1680,1985,200,15
1680,1987,180,18
1680,1989,207,18
1680,1991,189,17
1680,1993,221,15
1680,1995,177,8
1680,1997,167,13
1680,1999,190,24
1680,2001,195,30
1680,2003,196,30
1680,2005,188,22
1680,2007,153,19
1680,2009,147,11
1680,2011,178,33
1680,2013,174,30
1920,1985,231,46
1920,1987,209,42
1920,1989,230,42
1920,1991,206,44
1920,1993,283,54
1920,1995,216,45
1920,1997,184,40
1920,1999,198,45
1920,2001,194,46
1920,2003,211,49
1920,2005,209,40
1920,2007,195,33
1920,2009,197,40
1920,2011,224,57
1920,2013,221,52
2160,1985,543,94
2160,1987,442,70
2160,1989,542,85
2160,1991,445,60
2160,1993,584,73
2160,1995,1245,167
2160,1997,494,49
2160,1999,1213,149
2160,2001,538,51
2160,2003,1225,134
2160,2005,553,47
2160,2007,476,45
2160,2009,1557,228
2160,2011,607,102
2160,2013,2652,455
3360,1985,297,66
3360,1987,288,69
3360,1989,312,72
3360,1991,315,96
3360,1993,364,86
3360,1995,273,45
3360,1997,216,40
3360,1999,265,62
3360,2001,252,61
3360,2003,245,46
3360,2005,229,40
3360,2007,210,34
3360,2009,190,34
3360,2011,239,45
3360,2013,254,45
3760,1985,199,37
3760,1987,164,39
3760,1989,206,42
3760,1991,156,41
3760,1993,213,47
3760,1995,148,32
3760,1997,143,33
3760,1999,130,32
3760,2001,157,35
3760,2003,152,38
3760,2005,152,35
3760,2007,136,30
3760,2009,129,27
3760,2011,151,35
3760,2013,154,40
4480,1985,753,175
4480,1987,668,160
4480,1989,788,186
4480,1991,676,159
4480,1993,869,238
4480,1995,1604,444
4480,1997,550,163
4480,1999,1367,408
4480,2001,564,156
4480,2003,1329,298
4480,2005,533,103
4480,2007,418,86
4480,2009,447,97
4480,2011,1620,434
4480,2013,567,135
5000,1985,193,35
5000,1987,176,37
5000,1989,229,53
5000,1991,168,35
5000,1993,265,53
5000,1995,161,29
5000,1997,138,30
5000,1999,135,25
5000,2001,133,24
5000,2003,127,35
5000,2005,122,21
5000,2007,107,18
5000,2009,98,15
5000,2011,137,30
5000,2013,144,29
5120,1985,260,25
5120,1987,221,11
5120,1989,283,21
5120,1991,237,14
5120,1993,321,24
5120,1995,226,13
5120,1997,209,12
5120,1999,208,15
5120,2001,225,15
5120,2003,216,17
5120,2005,217,15
5120,2007,181,12
5120,2009,198,14
5120,2011,234,28
5120,2013,213,23
5380,1985,367,19
5380,1987,291,16
5380,1989,384,34
5380,1991,280,24
5380,1993,381,28
5380,1995,311,26
5380,1997,259,21
5380,1999,291,33
5380,2001,269,21
5380,2003,304,19
5380,2005,270,20
5380,2007,245,18
5380,2009,240,20
5380,2011,281,33
5380,2013,244,25
5600,1985,295,15
5600,1987,262,16
5600,1989,330,33
5600,1991,255,21
5600,1993,343,24
5600,1995,268,19
5600,1997,226,27
5600,1999,294,51
5600,2001,330,77
5600,2003,312,49
5600,2005,272,39
5600,2007,269,38
5600,2009,320,55
5600,2011,288,46
5600,2013,266,37
5640,1985,169,5
5640,1987,140,5
5640,1989,206,8
5640,1991,146,7
5640,1993,197,12
5640,1995,155,11
5640,1997,139,7
5640,1999,144,12
5640,2001,146,15
5640,2003,144,12
5640,2005,136,9
5640,2007,130,9
5640,2009,179,26
5640,2011,161,14
5640,2013,124,10
5720,1985,159,31
5720,1987,156,32
5720,1989,175,37
5720,1991,155,32
5720,1993,190,45
5720,1995,165,37
5720,1997,157,35
5720,1999,163,35
5720,2001,160,31
5720,2003,172,31
5720,2005,168,39
5720,2007,167,45
5720,2009,155,38
5720,2011,180,46
5720,2013,187,49
5775,1985,251,35
5775,1987,221,51
5775,1989,288,48
5775,1991,217,45
5775,1993,293,52
5775,1995,204,40
5775,1997,176,33
5775,1999,207,44
5775,2001,191,29
5775,2003,186,36
5775,2005,188,31
5775,2007,169,31
5775,2009,176,32
5775,2011,200,44
5775,2013,197,40
5880,1985,138,32
5880,1987,108,23
5880,1989,132,27
5880,1991,92,19
5880,1993,132,29
5880,1995,106,29
5880,1997,96,26
5880,1999,100,26
5880,2001,93,19
5880,2003,91,24
5880,2005,95,21
5880,2007,91,18
5880,2009,99,16
5880,2011,116,29
5880,2013,99,26
6160,1985,614,62
6160,1987,475,49
6160,1989,590,64
6160,1991,451,65
6160,1993,630,82
6160,1995,1172,148
6160,1997,521,74
6160,1999,1226,175
6160,2001,535,65
6160,2003,1234,144
6160,2005,578,64
6160,2007,494,56
6160,2009,1504,218
6160,2011,661,94
6160,2013,2639,422
6200,1985,231,45
6200,1987,230,30
6200,1989,273,46
6200,1991,266,60
6200,1993,306,65
6200,1995,272,46
6200,1997,255,52
6200,1999,229,39
6200,2001,267,49
6200,2003,259,40
6200,2005,267,41
6200,2007,260,37
6200,2009,274,46
6200,2011,322,76
6200,2013,298,69
6280,1985,222,20
6280,1987,226,26
6280,1989,244,26
6280,1991,227,28
6280,1993,283,32
6280,1995,223,24
6280,1997,210,24
6280,1999,213,23
6280,2001,209,25
6280,2003,208,29
6280,2005,194,28
6280,2007,170,23
6280,2009,170,24
6280,2011,203,44
6280,2013,201,42
6780,1985,181,27
6780,1987,166,31
6780,1989,211,33
6780,1991,178,35
6780,1993,216,35
6780,1995,181,27
6780,1997,159,39
6780,1999,166,38
6780,2001,169,35
6780,2003,168,29
6780,2005,167,20
6780,2007,136,26
6780,2009,152,25
6780,2011,182,45
6780,2013,182,53
7040,1985,177,16
7040,1987,180,17
7040,1989,196,19
7040,1991,190,21
7040,1993,213,22
7040,1995,190,20
7040,1997,159,18
7040,1999,160,21
7040,2001,162,27
7040,2003,156,15
7040,2005,159,16
7040,2007,139,15
7040,2009,135,18
7040,2011,157,33
7040,2013,151,28
7320,1985,212,40
7320,1987,190,36
7320,1989,228,52
7320,1991,221,57
7320,1993,255,58
7320,1995,210,51
7320,1997,191,51
7320,1999,202,59
7320,2001,189,53
7320,2003,225,51
7320,2005,213,51
7320,2007,165,36
7320,2009,178,46
7320,2011,201,54
7320,2013,212,52
7360,1985,150,19
7360,1987,125,15
7360,1989,188,27
7360,1991,127,20
7360,1993,190,27
7360,1995,122,20
7360,1997,106,14
7360,1999,116,14
7360,2001,124,14
7360,2003,124,17
7360,2005,117,14
7360,2007,92,11
7360,2009,90,13
7360,2011,107,14
7360,2013,121,19
7400,1985,149,22
7400,1987,148,31
7400,1989,183,27
7400,1991,149,26
7400,1993,211,46
7400,1995,132,20
7400,1997,138,24
7400,1999,140,28
7400,2001,139,26
