"region","Year","total","renters"
360,1985,241,45
360,1987,202,37
360,1989,242,43
360,1991,215,47
360,1993,257,53
360,1995,219,51
360,1997,160,30
360,1999,192,38
360,2001,222,49
360,2003,215,41
360,2005,207,35
360,2007,189,32
360,2009,191,36
360,2011,212,39
360,2013,202,42
520,1985,214,25
520,1987,176,26
520,1989,235,42
520,1991,171,26
520,1993,244,35
520,1995,210,41
520,1997,117,18
520,1999,177,38
520,2001,182,40
520,2003,174,43
520,2005,203,47
520,2007,161,33
520,2009,156,32
520,2011,182,53
520,2013,181,49
720,1985,200,29
720,1987,171,26
720,1989,207,31
720,1991,166,28
720,1993,219,29
720,1995,182,24
720,1997,98,8
720,1999,143,18
720,2001,156,26
720,2003,149,25
720,2005,173,25
720,2007,140,24
720,2009,132,16
720,2011,159,34
720,2013,175,41
1120,1985,197,9
1120,1987,174,8
1120,1989,220,9
1120,1991,171,15
1120,1993,225,16
1120,1995,185,13
1120,1997,143,6
1120,1999,157,4
1120,2001,164,8
1120,2003,190,16
1120,2005,172,8
1120,2007,143,4
1120,2009,149,10
1120,2011,164,8
1120,2013,160,10
1600,1985,456,25
1600,1987,402,15
1600,1989,484,23
1600,1991,419,25
1600,1993,493,28
1600,1995,782,33
1600,1997,347,15
1600,1999,690,44
1600,2001,372,21
1600,2003,847,49
1600,2005,397,22
1600,2007,348,19
1600,2009,420,34
1600,2011,396,36
1600,2013,422,40
1680,1985,175,11
1680,1987,154,12
1680,1989,175,11
1680,1991,160,10
1680,1993,185,10
1680,1995,156,5
1680,1997,137,6
1680,1999,153,15
1680,2001,160,21
1680,2003,167,20
1680,2005,175,18
1680,2007,143,16
1680,2009,137,10
1680,2011,158,24
1680,2013,151,20
1920,1985,226,44
1920,1987,200,38
1920,1989,224,41
1920,1991,197,41
1920,1993,268,52
1920,1995,211,45
1920,1997,156,27
1920,1999,177,35
1920,2001,184,40
1920,2003,205,46
1920,2005,207,40
1920,2007,190,33
1920,2009,194,39
1920,2011,212,54
1920,2013,212,52
2160,1985,504,72
2160,1987,410,55
2160,1989,505,65
2160,1991,413,46
2160,1993,514,52
2160,1995,985,96
2160,1997,431,27
2160,1999,956,83
2160,2001,489,39
2160,2003,1033,89
2160,2005,506,38
2160,2007,440,38
2160,2009,1289,149
2160,2011,540,73
2160,2013,2289,314
3360,1985,275,55
3360,1987,259,53
3360,1989,284,63
3360,1991,280,80
3360,1993,313,63
3360,1995,252,38
3360,1997,177,17
3360,1999,225,40
3360,2001,229,51
3360,2003,219,38
3360,2005,200,28
3360,2007,195,30
3360,2009,179,30
3360,2011,217,42
3360,2013,244,45
3760,1985,195,34
3760,1987,159,35
3760,1989,198,35
3760,1991,149,37
3760,1993,178,33
3760,1995,143,28
3760,1997,118,17
3760,1999,108,20
3760,2001,132,26
3760,2003,140,34
3760,2005,145,32
3760,2007,131,30
3760,2009,123,27
3760,2011,139,31
3760,2013,140,36
4480,1985,681,140
4480,1987,573,120
4480,1989,679,142
4480,1991,560,115
4480,1993,703,178
4480,1995,1276,289
4480,1997,410,86
4480,1999,1068,232
4480,2001,501,118
4480,2003,1190,232
4480,2005,504,89
4480,2007,391,75
4480,2009,415,87
4480,2011,1299,275
4480,2013,524,115
5000,1985,180,29
5000,1987,143,22
5000,1989,197,40
5000,1991,144,26
5000,1993,214,31
5000,1995,145,23
5000,1997,100,12
5000,1999,110,15
5000,2001,125,23
5000,2003,121,30
5000,2005,118,21
5000,2007,103,17
5000,2009,94,14
5000,2011,126,23
5000,2013,140,27
5120,1985,254,21
5120,1987,216,7
5120,1989,272,14
5120,1991,227,9
5120,1993,294,14
5120,1995,221,9
5120,1997,185,5
5120,1999,195,10
5120,2001,211,11
5120,2003,203,13
5120,2005,205,14
5120,2007,174,12
5120,2009,185,14
5120,2011,216,19
5120,2013,197,17
5380,1985,337,17
5380,1987,256,14
5380,1989,332,27
5380,1991,238,19
5380,1993,328,23
5380,1995,276,21
5380,1997,211,17
5380,1999,245,19
5380,2001,233,14
5380,2003,245,13
5380,2005,223,13
5380,2007,203,14
5380,2009,197,13
5380,2011,240,25
5380,2013,227,23
5600,1985,228,9
5600,1987,195,8
5600,1989,220,16
5600,1991,178,9
5600,1993,227,11
5600,1995,189,11
5600,1997,130,5
5600,1999,159,18
5600,2001,200,28
5600,2003,219,29
5600,2005,211,23
5600,2007,212,27
5600,2009,253,38
5600,2011,230,32
5600,2013,237,32
5640,1985,153,4
5640,1987,123,2
5640,1989,169,2
5640,1991,129,4
5640,1993,158,7
5640,1995,138,8
5640,1997,111,5
5640,1999,113,4
5640,2001,118,9
5640,2003,114,8
5640,2005,115,5
5640,2007,105,4
5640,2009,130,11
5640,2011,134,8
5640,2013,109,5
5720,1985,152,29
5720,1987,146,27
5720,1989,163,29
5720,1991,144,28
5720,1993,176,38
5720,1995,148,29
5720,1997,131,26
5720,1999,150,33
5720,2001,149,29
5720,2003,160,28
5720,2005,157,34
5720,2007,156,38
5720,2009,145,34
5720,2011,167,40
5720,2013,179,47
5775,1985,245,34
5775,1987,210,47
5775,1989,274,46
5775,1991,204,41
5775,1993,270,46
5775,1995,194,38
5775,1997,142,22
5775,1999,193,36
5775,2001,183,26
5775,2003,180,34
5775,2005,182,28
5775,2007,163,28
5775,2009,171,30
5775,2011,193,39
5775,2013,192,39
5880,1985,137,32
5880,1987,107,22
5880,1989,130,26
5880,1991,92,19
5880,1993,131,29
5880,1995,105,29
5880,1997,91,22
5880,1999,99,26
5880,2001,93,19
5880,2003,88,22
5880,2005,89,20
5880,2007,89,17
5880,2009,98,16
5880,2011,111,26
5880,2013,98,25
6160,1985,363,19
6160,1987,278,19
6160,1989,362,24
6160,1991,269,24
6160,1993,359,29
6160,1995,695,55
6160,1997,279,16
6160,1999,841,98
6160,2001,421,44
6160,2003,952,82
6160,2005,496,43
6160,2007,417,43
6160,2009,1118,132
6160,2011,568,69
6160,2013,1965,250
6200,1985,229,44
6200,1987,226,29
6200,1989,264,41
6200,1991,254,52
6200,1993,289,59
6200,1995,261,45
6200,1997,200,35
6200,1999,221,37
6200,2001,259,47
6200,2003,253,39
6200,2005,261,40
6200,2007,255,36
6200,2009,267,43
6200,2011,314,73
6200,2013,290,69
6280,1985,194,12
6280,1987,199,19
6280,1989,204,16
6280,1991,198,21
6280,1993,220,20
6280,1995,200,21
6280,1997,159,7
6280,1999,179,14
6280,2001,174,17
6280,2003,174,18
6280,2005,167,18
6280,2007,141,18
6280,2009,136,16
6280,2011,154,24
6280,2013,160,27
6780,1985,171,24
6780,1987,152,27
6780,1989,195,29
6780,1991,161,29
6780,1993,196,30
6780,1995,172,24
6780,1997,130,26
6780,1999,152,32
6780,2001,161,32
6780,2003,166,28
6780,2005,164,18
6780,2007,134,25
6780,2009,148,24
6780,2011,172,41
6780,2013,178,51
7040,1985,168,12
7040,1987,167,13
7040,1989,182,14
7040,1991,177,18
7040,1993,184,17
7040,1995,176,16
7040,1997,135,9
7040,1999,139,15
7040,2001,144,23
7040,2003,135,11
7040,2005,142,15
7040,2007,124,15
7040,2009,119,17
7040,2011,128,22
7040,2013,130,21
7320,1985,206,37
7320,1987,182,33
7320,1989,216,45
7320,1991,204,46
7320,1993,241,51
7320,1995,203,49
7320,1997,158,32
7320,1999,173,43
7320,2001,182,50
7320,2003,216,48
7320,2005,207,50
7320,2007,160,34
7320,2009,174,45
7320,2011,191,52
7320,2013,205,51
7360,1985,142,16
7360,1987,114,13
7360,1989,167,22
7360,1991,115,17
7360,1993,174,24
7360,1995,112,17
7360,1997,83,10
7360,1999,106,13
7360,2001,121,14
7360,2003,122,16
7360,2005,114,14
7360,2007,90,10
7360,2009,88,12
7360,2011,101,12
7360,2013,114,16
7400,1985,144,20
7400,1987,137,23
7400,1989,172,25
7400,1991,138,23
7400,1993,190,36
7400,1995,124,17
7400,1997,112,15
7400,1999,139,28
7400,2001,137,26
7400,2003,141,22
7400,2005,131,16
7400,2007,106,15
7400,2009,105,14
7400,2011,139,30
7400,2013,146,34
7600,1985,180,39
7600,1987,162,30
7600,1989,226,39
7600,1991,174,30
7600,1993,230,44
7600,1995,173,36
7600,1997,141,24
7600,1999,167,29
7600,2001,173,29
7600,2003,179,24
7600,2005,173,29
7600,2007,141,26
7600,2009,150,30
7600,2011,175,32
7600,2013,161,31
8280,1985,196,30
8280,1987,199,34
8280,1989,210,32
8280,1991,192,36
8280,1993,220,31
8280,1995,200,29
8280,1997,158,19
8280,1999,184,21
8280,2001,195,33
8280,2003,177,24
8280,2005,169,22
8280,2007,155,23
8280,2009,152,31
8280,2011,178,32
8280,2013,180,38
8840,1985,299,26
8840,1987,239,29
8840,1989,316,25
8840,1991,255,28
8840,1993,343,35
8840,1995,262,28
8840,1997,164,16
8840,1999,215,30
8840,2001,222,21
8840,2003,252,25
8840,2005,220,15
8840,2007,196,25
8840,2009,203,30
8840,2011,245,36
8840,2013,252,39
