"Year","region","name","state","cbsa","rp","WEIGHT","tax_rate","vac_rate","interp_rp","interp_WEIGHT","interp_tax","interp_vac","net_yield","extrap_tax_1","net_yield_1","extrap_tax_0.5","net_yield_0.5"
1985,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.0762416161310745,385598.46,7.41,0.080242002516167,0.0762416161310745,385598.46,7.41,0.080242002516167,0.0483146258390701,7.41,0.0483146258390701,7.41,0.0483146258390701
1986,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,NA,NA,0.0758944890999814,399798.53,7.41,0.0401210012580835,0.0508596026197742,7.41,0.0508596026197742,7.41,0.0508596026197742
1987,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.0755473620688884,413998.6,NA,0,0.0755473620688884,413998.6,7.41,0,0.0533785719637211,7.41,0.0533785719637211,7.41,0.0533785719637211
1988,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,NA,NA,0.0787607105184731,434688.965,7.41,0.0224685776819729,0.0547265614762792,7.41,0.0547265614762792,7.41,0.0547265614762792
1989,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.0819740589680578,455379.33,NA,0.0449371553639458,0.0819740589680578,455379.33,7.41,0.0449371553639458,0.0559397258866834,7.41,0.0559397258866834,7.41,0.0559397258866834
1990,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,7.41,NA,0.0834083957771078,425939.11,7.41,0.108644572842665,0.0522573515562748,7.41,0.0522573515562748,7.41,0.0522573515562748
1991,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.0848427325861578,396498.89,NA,0.172351990321385,0.0848427325861578,396498.89,7.39057333333333,0.172351990321385,0.0484237648134655,7.39057333333333,0.0484237648134655,7.39057333333333,0.0484237648134655
1992,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,NA,NA,0.0868602813522128,415457.48,7.37114666666667,0.111060818301036,0.054973105218276,7.37114666666667,0.054973105218276,7.37114666666667,0.054973105218276
1993,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.0888778301182677,434416.07,NA,0.0497696462806865,0.0888778301182677,434416.07,7.35172,0.0497696462806865,0.0617533644387295,7.35172,0.0617533644387295,7.35172,0.0617533644387295
1994,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,NA,NA,0.0881270090315638,477472.615,7.33229333333333,0.0438462358507705,0.0615940430710098,7.33229333333333,0.0615940430710098,7.33229333333333,0.0615940430710098
1995,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.0873761879448598,520529.16,NA,0.0379228254208546,0.0873761879448598,520529.16,7.31286666666667,0.0379228254208546,0.0614264165884632,7.31286666666667,0.0614264165884632,7.31286666666667,0.0614264165884632
1996,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,NA,NA,0.0861477340485918,436394.9088006,7.29344,0.0532856867964024,0.0591066043563219,7.29344,0.0591066043563219,7.29344,0.0591066043563219
1997,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.0849192801523238,352260.6576012,NA,0.0686485481719502,0.0849192801523238,352260.6576012,7.27401333333333,0.0686485481719502,0.056822034755637,7.27401333333333,0.056822034755637,7.27401333333333,0.056822034755637
1998,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,NA,NA,0.0850307773319506,384317.53766715,7.25458666666667,0.133140433601706,0.0518182001562674,7.25458666666667,0.0518182001562674,7.25458666666667,0.0518182001562674
1999,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.0851422745115774,416374.4177331,NA,0.197632319031462,0.0851422745115774,416374.4177331,7.23516,0.197632319031462,0.0468009377121875,7.23516,0.0468009377121875,7.23516,0.0468009377121875
2000,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,NA,NA,0.0817317709561971,432502.9798794,7.21573333333333,0.2283455949082,0.0419214942044179,7.21573333333333,0.0419214942044179,7.21573333333333,0.0419214942044179
2001,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.0783212674008168,448631.5420257,NA,0.259058870784938,0.0783212674008168,448631.5420257,7.19630666666667,0.259058870784938,0.0372376566199285,7.19630666666667,0.0372376566199285,7.19630666666667,0.0372376566199285
2002,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,NA,NA,0.0713647107892929,431696.18080635,7.17688,0.210606861904821,0.0356729348973669,7.17688,0.0356729348973669,7.17688,0.0356729348973669
2003,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.0644081541777689,414760.819587,NA,0.162154853024703,0.0644081541777689,414760.819587,7.15745333333333,0.162154853024703,0.0334787889316963,7.15745333333333,0.0334787889316963,7.15745333333333,0.0334787889316963
2004,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,NA,NA,0.0685866869083165,468872.58562655,7.13802666666667,0.116526365986846,0.0396890855534521,7.13802666666667,0.0396890855534521,7.13802666666667,0.0396890855534521
2005,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.0727652196388641,522984.3516661,7.1186,0.0708978789489897,0.0727652196388641,522984.3516661,7.1186,0.0708978789489897,0.0462554208954958,7.1186,0.0462554208954958,7.1186,0.0462554208954958
2006,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,NA,NA,0.0742273880065863,493980.5507501,7.49737142857143,0.11274002894892,0.0442451676594706,7.49737142857143,0.0442451676594706,7.49737142857143,0.0442451676594706
2007,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.0756895563743084,464976.7498341,NA,0.15458217894885,0.0756895563743084,464976.7498341,7.87614285714286,0.15458217894885,0.0421206663906697,7.87614285714286,0.0421206663906697,7.87614285714286,0.0421206663906697
2008,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,NA,NA,0.0790905059144707,461255.5625931,8.25491428571429,0.0980358635181635,0.0486022557538918,8.25491428571429,0.0486022557538918,8.25491428571429,0.0486022557538918
2009,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.082491455454633,457534.3753521,NA,0.0414895480874769,0.082491455454633,457534.3753521,8.63368571428571,0.0414895480874769,0.0554429669874974,8.63368571428571,0.0554429669874974,8.63368571428571,0.0554429669874974
2010,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,NA,NA,0.0885197456944787,466120.7705329,9.01245714285714,0.0667353852429571,0.0583726906571621,9.01245714285714,0.0583726906571621,9.01245714285714,0.0583726906571621
2011,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.0945480359343244,474707.1657137,NA,0.0919812223984373,0.0945480359343244,474707.1657137,9.39122857142857,0.0919812223984373,0.0610182161517761,9.39122857142857,0.0610182161517761,9.39122857142857,0.0610182161517761
2012,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,9.77,NA,0.104446181575525,472564.0339719,9.77,0.107513083515335,0.0675165733426041,9.77,0.0675165733426041,9.77,0.0675165733426041
2013,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.114344327216726,470420.9022301,NA,0.123044944632233,0.114344327216726,470420.9022301,9.77,0.123044944632233,0.0741066141914404,10.2220362577007,0.0736545779337397,9.99601812885033,0.07388059606259
2014,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,NA,NA,0.108531977435143,1804513.59506472,9.77,0.108960705293545,0.0707746318125428,10.6949872317039,0.0698496445808389,10.2272649367763,0.0703173668757665
2015,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.10271962765356,3138606.28789934,NA,0.0948764659548575,0.10271962765356,3138606.28789934,9.77,0.0948764659548575,0.0672897793536311,11.1898205996031,0.0658699587540279,10.4638613834771,0.066595917970154
2016,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,NA,NA,NA,NA,0.0942621602643547,3215851.07699101,9.77,0.0974863360792028,0.0599125551794514,11.7075488112906,0.0579750063681608,10.7059312269206,0.0589766239525308
2017,12060," Atlanta-Sandy Springs-Roswell, GA","GA",12060,0.0858046928751493,3293095.86608268,NA,0.100096206203548,0.0858046928751493,3293095.86608268,9.77,0.100096206203548,0.0525765499227966,12.2492311604721,0.0500973187623245,10.9536010880781,0.0513929488347185
