"Year","region","name","state","cbsa","rp","WEIGHT","tax_rate","vac_rate","interp_rp","interp_WEIGHT","interp_tax","interp_vac","net_yield","extrap_tax_1","net_yield_1","extrap_tax_0.5","net_yield_0.5"
1985,360,"Anaheim","CA",11244,0.0702277123059794,470510.75,5.11,0.0706235537725253,0.0702277123059794,470510.75,5.11,0.0706235537725253,0.0460807145035951,5.11,0.0460807145035951,5.11,0.0460807145035951
1986,360,"Anaheim","CA",11244,NA,NA,NA,NA,0.0686359554227075,468938.75,5.11,0.0850806283982304,0.0437729661915636,5.11,0.0437729661915636,5.11,0.0437729661915636
1987,360,"Anaheim","CA",11244,0.0670441985394356,467366.75,NA,0.0995377030239354,0.0670441985394356,467366.75,5.11,0.0995377030239354,0.041508190764796,5.11,0.041508190764796,5.11,0.041508190764796
1988,360,"Anaheim","CA",11244,NA,NA,NA,NA,0.058380899011676,475003.2,5.11,0.0850723924945559,0.0350129284149458,5.11,0.0350129284149458,5.11,0.0350129284149458
1989,360,"Anaheim","CA",11244,0.0497175994839164,482639.65,NA,0.0706070819651765,0.0497175994839164,482639.65,5.11,0.0706070819651765,0.0282836485056902,5.11,0.0282836485056902,5.11,0.0282836485056902
1990,360,"Anaheim","CA",11244,NA,NA,5.11,NA,0.0501753998457549,490255.815,5.11,0.0568478567450278,0.0293255186228169,5.11,0.0293255186228169,5.11,0.0293255186228169
1991,360,"Anaheim","CA",11244,0.0506332002075935,497871.98,NA,0.0430886315248792,0.0506332002075935,497871.98,5.08724666666667,0.0430886315248792,0.0304019047853252,5.08724666666667,0.0304019047853252,5.08724666666667,0.0304019047853252
1992,360,"Anaheim","CA",11244,NA,NA,NA,NA,0.0544154560141504,490933.155,5.06449333333333,0.0409492368451303,0.0339126809442983,5.06449333333333,0.0339126809442983,5.06449333333333,0.0339126809442983
1993,360,"Anaheim","CA",11244,0.0581977118207073,483994.33,NA,0.0388098421653813,0.0581977118207073,483994.33,5.04174,0.0388098421653813,0.0374385676147192,5.04174,0.0374385676147192,5.04174,0.0374385676147192
1994,360,"Anaheim","CA",11244,NA,NA,NA,NA,0.061624637155568,506952.105,5.01898666666667,0.0447745528572788,0.0401936574643864,5.01898666666667,0.0401936574643864,5.01898666666667,0.0401936574643864
1995,360,"Anaheim","CA",11244,0.0650515624904287,529909.88,NA,0.0507392635491762,0.0650515624904287,529909.88,4.99623333333333,0.0507392635491762,0.0429105765036546,4.99623333333333,0.0429105765036546,4.99623333333333,0.0429105765036546
1996,360,"Anaheim","CA",11244,NA,NA,NA,NA,0.0675855401769785,464945.773173275,4.97348,0.0253696317745881,0.0467801979194086,4.97348,0.0467801979194086,4.97348,0.0467801979194086
1997,360,"Anaheim","CA",11244,0.0701195178635282,399981.66634655,NA,0,0.0701195178635282,399981.66634655,4.95072666666667,0,0.0507698671625096,4.95072666666667,0.0507698671625096,4.95072666666667,0.0507698671625096
1998,360,"Anaheim","CA",11244,NA,NA,NA,NA,0.0684340232507865,438348.258234305,4.92797333333333,0.0086417061705126,0.048666696394529,4.92797333333333,0.048666696394529,4.92797333333333,0.048666696394529
1999,360,"Anaheim","CA",11244,0.0667485286380449,476714.85012206,NA,0.0172834123410252,0.0667485286380449,476714.85012206,4.90522,0.0172834123410252,0.0465907253331157,4.90522,0.0465907253331157,4.90522,0.0465907253331157
2000,360,"Anaheim","CA",11244,NA,NA,NA,NA,0.0614941327400289,521293.893591975,4.88246666666667,0.0210752995597038,0.0415745230859502,4.88246666666667,0.0415745230859502,4.88246666666667,0.0415745230859502
2001,360,"Anaheim","CA",11244,0.0562397368420129,565872.93706189,NA,0.0248671867783824,0.0562397368420129,565872.93706189,4.85971333333333,0.0248671867783824,0.0365955270595164,4.85971333333333,0.0365955270595164,4.85971333333333,0.0365955270595164
2002,360,"Anaheim","CA",11244,NA,NA,NA,NA,0.0501429633341098,551746.786088075,4.83696,0.0472425927735615,0.0300196982503033,4.83696,0.0300196982503033,4.83696,0.0300196982503033
2003,360,"Anaheim","CA",11244,0.0440461898262068,537620.63511426,NA,0.0696179987687406,0.0440461898262068,537620.63511426,4.81420666666667,0.0696179987687406,0.0236986160081306,4.81420666666667,0.0236986160081306,4.81420666666667,0.0236986160081306
2004,360,"Anaheim","CA",11244,NA,NA,NA,NA,0.0387262048615855,530622.68315179,4.79145333333333,0.0348089993843703,0.0203585574599937,4.79145333333333,0.0203585574599937,4.79145333333333,0.0203585574599937
2005,360,"Anaheim","CA",11244,0.0334062198969642,523624.73118932,4.7687,0,0.0334062198969642,523624.73118932,4.7687,0,0.0166726875177955,4.7687,0.0166726875177955,4.7687,0.0166726875177955
2006,360,"Anaheim","CA",11244,NA,NA,NA,NA,0.0309928957712147,550478.59222486,5.29174285714286,0.0465429202760142,0.0125494617892831,5.29174285714286,0.0125494617892831,5.29174285714286,0.0125494617892831
2007,360,"Anaheim","CA",11244,0.0285795716454652,577332.4532604,NA,0.0930858405520284,0.0285795716454652,577332.4532604,5.81478571428571,0.0930858405520284,0.00863598831553439,5.81478571428571,0.00863598831553439,5.81478571428571,0.00863598831553439
2008,360,"Anaheim","CA",11244,NA,NA,NA,NA,0.0392639073861553,571528.3900797,6.33782857142857,0.128860980480516,0.0158487466772457,6.33782857142857,0.0158487466772457,6.33782857142857,0.0158487466772457
2009,360,"Anaheim","CA",11244,0.0499482431268454,565724.326899,NA,0.164636120409004,0.0499482431268454,565724.326899,6.86087142857143,0.164636120409004,0.0223477220028024,6.86087142857143,0.0223477220028024,6.86087142857143,0.0223477220028024
2010,360,"Anaheim","CA",11244,NA,NA,NA,NA,0.0511165952330253,562536.980428135,7.38391428571428,0.082318060204502,0.0266648101168228,7.38391428571428,0.0266648101168228,7.38391428571428,0.0266648101168228
2011,360,"Anaheim","CA",11244,0.0522849473392052,559349.63395727,NA,0,0.0522849473392052,559349.63395727,7.90695714285714,0,0.0311614981877588,7.90695714285714,0.0311614981877588,7.90695714285714,0.0311614981877588
2012,360,"Anaheim","CA",11244,NA,NA,8.43,NA,0.0486296832525081,550221.740399925,8.43,0,0.0272255352528668,8.43,0.0272255352528668,8.43,0.0272255352528668
2013,360,"Anaheim","CA",11244,0.044974419165811,541093.84684258,NA,0,0.044974419165811,541093.84684258,8.43,0,0.0238126151751177,9.14480334822065,0.0230978118268971,8.78740167411033,0.0234552135010074
2014,360,"Anaheim","CA",11244,NA,NA,NA,NA,0.044974419165811,541093.84684258,8.43,0,0.0238126151751177,9.9202168775359,0.0223223982975818,9.1599558934943,0.0230826592816234
1985,520,"Atlanta","GA",12060,0.0870530157232944,385598.46,7.41,0.080242002516167,0.0870530157232944,385598.46,7.41,0.080242002516167,0.0575992184148662,7.41,0.0575992184148662,7.41,0.0575992184148662
1986,520,"Atlanta","GA",12060,NA,NA,NA,NA,0.0815997851144065,399798.53,7.41,0.0401210012580835,0.0559729115349727,7.41,0.0559729115349727,7.41,0.0559729115349727
1987,520,"Atlanta","GA",12060,0.0761465545055186,413998.6,NA,0,0.0761465545055186,413998.6,7.41,0,0.0539380379418027,7.41,0.0539380379418027,7.41,0.0539380379418027
1988,520,"Atlanta","GA",12060,NA,NA,NA,NA,0.0817995445704701,434688.965,7.41,0.0224685776819729,0.0575001694015639,7.41,0.0575001694015639,7.41,0.0575001694015639
1989,520,"Atlanta","GA",12060,0.0874525346354216,455379.33,NA,0.0449371553639458,0.0874525346354216,455379.33,7.41,0.0449371553639458,0.0608251137106194,7.41,0.0608251137106194,7.41,0.0608251137106194
1990,520,"Atlanta","GA",12060,NA,NA,7.41,NA,0.0867724134583834,425939.11,7.41,0.108644572842665,0.0550570840753688,7.41,0.0550570840753688,7.41,0.0550570840753688
1991,520,"Atlanta","GA",12060,0.0860922922813451,396498.89,NA,0.172351990321385,0.0860922922813451,396498.89,7.39057333333333,0.172351990321385,0.0493893932402335,7.39057333333333,0.0493893932402335,7.39057333333333,0.0493893932402335
1992,520,"Atlanta","GA",12060,NA,NA,NA,NA,0.0901961493985832,415457.48,7.37114666666667,0.111060818301036,0.0577418840829767,7.37114666666667,0.0577418840829767,7.37114666666667,0.0577418840829767
1993,520,"Atlanta","GA",12060,0.0943000065158213,434416.07,NA,0.0497696462806865,0.0943000065158213,434416.07,7.35172,0.0497696462806865,0.0665640824445789,7.35172,0.0665640824445789,7.35172,0.0665640824445789
1994,520,"Atlanta","GA",12060,NA,NA,NA,NA,0.0909777417359827,477472.615,7.33229333333333,0.0438462358507705,0.0641390653940913,7.33229333333333,0.0641390653940913,7.33229333333333,0.0641390653940913
1995,520,"Atlanta","GA",12060,0.0876554769561441,520529.16,NA,0.0379228254208546,0.0876554769561441,520529.16,7.31286666666667,0.0379228254208546,0.0616772995215865,7.31286666666667,0.0616772995215865,7.31286666666667,0.0616772995215865
1996,520,"Atlanta","GA",12060,NA,NA,NA,NA,0.0880168962533754,436394.9088006,7.29344,0.0532856867964024,0.06075884496805,7.29344,0.06075884496805,7.29344,0.06075884496805
1997,520,"Atlanta","GA",12060,0.0883783155506066,352260.6576012,NA,0.0686485481719502,0.0883783155506066,352260.6576012,7.27401333333333,0.0686485481719502,0.0598300217982126,7.27401333333333,0.0598300217982126,7.27401333333333,0.0598300217982126
1998,520,"Atlanta","GA",12060,NA,NA,NA,NA,0.0905634143309844,384317.53766715,7.25458666666667,0.133140433601706,0.0562962433860345,7.25458666666667,0.0562962433860345,7.25458666666667,0.0562962433860345
1999,520,"Atlanta","GA",12060,0.0927485131113621,416374.4177331,NA,0.197632319031462,0.0927485131113621,416374.4177331,7.23516,0.197632319031462,0.0524993088366529,7.23516,0.0524993088366529,7.23516,0.0524993088366529
2000,520,"Atlanta","GA",12060,NA,NA,NA,NA,0.0858599233434676,432502.9798794,7.21573333333333,0.2283455949082,0.0448958020665342,7.21573333333333,0.0448958020665342,7.21573333333333,0.0448958020665342
2001,520,"Atlanta","GA",12060,0.078971333575573,448631.5420257,NA,0.259058870784938,0.078971333575573,448631.5420257,7.19630666666667,0.259058870784938,0.0376873832767583,7.19630666666667,0.0376873832767583,7.19630666666667,0.0376873832767583
2002,520,"Atlanta","GA",12060,NA,NA,NA,NA,0.0727778095594341,431696.18080635,7.17688,0.210606861904821,0.0367144683516337,7.17688,0.0367144683516337,7.17688,0.0367144683516337
2003,520,"Atlanta","GA",12060,0.0665842855432952,414760.819587,NA,0.162154853024703,0.0665842855432952,414760.819587,7.15745333333333,0.162154853024703,0.0351811678243022,7.15745333333333,0.0351811678243022,7.15745333333333,0.0351811678243022
2004,520,"Atlanta","GA",12060,NA,NA,NA,NA,0.0694651216875329,468872.58562655,7.13802666666667,0.116526365986846,0.0404137058161019,7.13802666666667,0.0404137058161019,7.13802666666667,0.0404137058161019
2005,520,"Atlanta","GA",12060,0.0723459578317705,522984.3516661,7.1186,0.0708978789489897,0.0723459578317705,522984.3516661,7.1186,0.0708978789489897,0.0458917101666199,7.1186,0.0458917101666199,7.1186,0.0458917101666199
2006,520,"Atlanta","GA",12060,NA,NA,NA,NA,0.0779178160876402,493980.5507501,7.49737142857143,0.11274002894892,0.047302446099683,7.49737142857143,0.047302446099683,7.49737142857143,0.047302446099683
2007,520,"Atlanta","GA",12060,0.0834896743435099,464976.7498341,NA,0.15458217894885,0.0834896743435099,464976.7498341,7.87614285714286,0.15458217894885,0.0482778191438401,7.87614285714286,0.0482778191438401,7.87614285714286,0.0482778191438401
