state_name,Year,tax_rate,state
Alabama,1985,2.16,AL
Alaska,1985,9.34,AK
Arizona,1985,6.54,AZ
Arkansas,1985,5.99,AR
California,1985,5.11,CA
Colorado,1985,10.87,CO
Connecticut,1985,10.44,CT
Delaware,1985,5.22,DE
District of Columbia,1985,6.66,DC
Florida,1985,7.92,FL
Georgia,1985,7.41,GA
Hawaii,1985,2.88,HI
Idaho,1985,9.98,ID
Illinois,1985,14.2,IL
Indiana,1985,8.93,IN
Iowa,1985,17.35,IA
Kansas,1985,13.79,KA
Kentucky,1985,5.77,KY
Louisiana,1985,0,LA
Maine,1985,11.04,ME
Maryland,1985,9.99,MD
Massachusetts,1985,9.11,MA
Michigan,1985,23.79,MI
Minnesota,1985,10.28,MN
Mississippi,1985,4.23,MS
Missouri,1985,8.21,MO
Montana,1985,13.52,MT
Nebraska,1985,20.64,NE
Nevada,1985,6.28,NV
New Hampshire,1985,16.36,NH
New Jersey,1985,16.26,NJ
New Mexico,1985,5.16,NM
New York,1985,16.26,NY
North Carolina,1985,7.32,NC
North Dakota,1985,15.85,ND
Ohio,1985,11.15,OH
Oklahoma,1985,6.82,OK
Oregon,1985,22.17,OR
Pennsylvania,1985,13.52,PA
Rhode Island,1985,11.38,RI
South Carolina,1985,6.45,SC
South Dakota,1985,22.57,SD
Tennessee,1985,6.82,TN
Texas,1985,12.8,TX
Utah,1985,9.69,UT
Vermont,1985,14.2,VT
Virginia,1985,8.08,VA
Washington,1985,9.53,WA
West Virginia,1985,2.64,WV
Wisconsin,1985,25.28,WI
Wyoming,1985,6.45,WY
United States,1985,9.69,US
Alabama,1990,2.16,AL
Alaska,1990,9.34,AK
Arizona,1990,6.54,AZ
Arkansas,1990,5.99,AR
California,1990,5.11,CA
Colorado,1990,10.87,CO
Connecticut,1990,10.44,CT
Delaware,1990,5.22,DE
District of Columbia,1990,6.66,DC
Florida,1990,7.92,FL
Georgia,1990,7.41,GA
Hawaii,1990,2.88,HI
Idaho,1990,9.98,ID
Illinois,1990,14.2,IL
Indiana,1990,8.93,IN
Iowa,1990,17.35,IA
Kansas,1990,13.79,KA
Kentucky,1990,5.77,KY
Louisiana,1990,0,LA
Maine,1990,11.04,ME
Maryland,1990,9.99,MD
Massachusetts,1990,9.11,MA
Michigan,1990,23.79,MI
Minnesota,1990,10.28,MN
Mississippi,1990,4.23,MS
Missouri,1990,8.21,MO
Montana,1990,13.52,MT
Nebraska,1990,20.64,NE
Nevada,1990,6.28,NV
New Hampshire,1990,16.36,NH
New Jersey,1990,16.26,NJ
New Mexico,1990,5.16,NM
New York,1990,16.26,NY
North Carolina,1990,7.32,NC
North Dakota,1990,15.85,ND
Ohio,1990,11.15,OH
Oklahoma,1990,6.82,OK
Oregon,1990,22.17,OR
Pennsylvania,1990,13.52,PA
Rhode Island,1990,11.38,RI
South Carolina,1990,6.45,SC
South Dakota,1990,22.57,SD
Tennessee,1990,6.82,TN
Texas,1990,12.8,TX
Utah,1990,9.69,UT
Vermont,1990,14.2,VT
Virginia,1990,8.08,VA
Washington,1990,9.53,WA
West Virginia,1990,2.64,WV
Wisconsin,1990,25.28,WI
Wyoming,1990,6.45,WY
United States,1990,9.69,US
Alabama,2005,3.0974,AL
Alaska,2005,11.3699,AK
Arizona,2005,6.1111,AZ
Arkansas,2005,5.2517,AR
California,2005,4.7687,CA
Colorado,2005,5.8083,CO
Connecticut,2005,14.2357,CT
Delaware,2005,3.9549,DE
District of Columbia,2005,3.7565,DC
Florida,2005,7.8892,FL
Georgia,2005,7.1186,GA
Hawaii,2005,2.037,HI
Idaho,2005,9.0882,ID
Illinois,2005,15.7912,IL
Indiana,2005,9.4318,IN
Iowa,2005,12.7111,IA
Kansas,2005,12.4026,KA
Kentucky,2005,6.6699,KY
Louisiana,2005,1.7207,LA
Maine,2005,11.217,ME
Maryland,2005,7.7052,MD
Massachusetts,2005,8.2268,MA
Michigan,2005,12.3644,MI
Minnesota,2005,8.1388,MN
Mississippi,2005,5.0302,MS
Missouri,2005,8.221,MO
Montana,2005,9.9468,MT
Nebraska,2005,16.6873,NE
Nevada,2005,5.0988,NV
New Hampshire,2005,16.3265,NH
New Jersey,2005,16.0288,NJ
New Mexico,2005,5.6335,NM
New York,2005,11.881,NY
North Carolina,2005,7.5705,NC
North Dakota,2005,14.9661,ND
Ohio,2005,12.3302,OH
Oklahoma,2005,7.1268,OK
Oregon,2005,9.493,OR
Pennsylvania,2005,14.6854,PA
Rhode Island,2005,10.9172,RI
South Carolina,2005,5.6764,SC
South Dakota,2005,13.8053,SD
Tennessee,2005,6.9649,TN
Texas,2005,18.1698,TX
Utah,2005,6.7584,UT
Vermont,2005,16.3495,VT
Virginia,2005,6.6792,VA
Washington,2005,9.8814,WA
West Virginia,2005,4.609,WV
Wisconsin,2005,18.1979,WI
Wyoming,2005,5.4593,WY
United States,2005,9.6358,US
Alabama,2012,4.34,AL
Alaska,2012,11.85,AK
Arizona,2012,8.76,AZ
Arkansas,2012,6.24,AR
California,2012,8.43,CA
Colorado,2012,6.29,CO
Connecticut,2012,18.95,CT
Delaware,2012,5.25,DE
District of Columbia,2012,5.72,DC
Florida,2012,11.09,FL
Georgia,2012,9.77,GA
Hawaii,2012,2.77,HI
Idaho,2012,7.73,ID
Illinois,2012,23.09,IL
Indiana,2012,8.58,IN
Iowa,2012,14.52,IA
Kansas,2012,13.87,KA
Kentucky,2012,8.4,KY
Louisiana,2012,4.68,LA
Maine,2012,12.34,ME
Maryland,2012,10.95,MD
Massachusetts,2012,11.8,MA
Michigan,2012,18.27,MI
Minnesota,2012,12.25,MN
Mississippi,2012,7.73,MS
Missouri,2012,10.07,MO
Montana,2012,8.71,MT
Nebraska,2012,18.7,NE
Nevada,2012,9.69,NV
New Hampshire,2012,21.13,NH
New Jersey,2012,23.05,NJ
New Mexico,2012,7.38,NM
New York,2012,15.67,NY
North Carolina,2012,8.57,NC
North Dakota,2012,12.19,ND
Ohio,2012,15.51,OH
Oklahoma,2012,8.59,OK
Oregon,2012,11.05,OR
Pennsylvania,2012,14.95,PA
Rhode Island,2012,16.38,RI
South Carolina,2012,5.65,SC
South Dakota,2012,13.38,SD
Tennessee,2012,7.39,TN
Texas,2012,19.14,TX
Utah,2012,7.17,UT
Vermont,2012,16.84,VT
Virginia,2012,7.92,VA
Washington,2012,11.35,WA
West Virginia,2012,5.85,WV
Wisconsin,2012,19.51,WI
Wyoming,2012,6.13,WY
United States,2012,,US
