"","CONTROL","region","TENURE","Year","renter_data","predicted_log_rent","decile","WEIGHT","VALUE"
"1","'100029520149'",520,2,2011,1,9.04027438606872,0,3077.4963457,NA
"2","'101092730142'",520,1,2011,0,9.38133292924007,4,3464.2962693,110000
"3","'102727980140'",520,2,2011,1,9.3860532265846,4,3520.0958975,NA
"4","'104934590143'",520,2,2011,1,9.37665820750724,4,2493.2361999,NA
"5","'106934540146'",520,1,2011,0,9.39727771595859,4,2589.4876634,55000
"6","'109102700147'",520,2,2011,1,9.27315775237846,2,2264.7071054,NA
"7","'110102570141'",520,2,2011,1,9.41624119120443,5,3366.4589023,NA
"8","'116934140143'",520,2,2011,1,9.04917384036571,0,3185.5469933,NA
"9","'184029730143'",520,1,2011,0,9.39950730874909,5,1981.8868365,115000
"10","'184029990143'",520,1,2011,0,9.91403714560117,9,2555.1722829,1507983
"11","'184591580142'",520,1,2011,0,9.57927622098292,8,2844.9397922,725000
"12","'185591100148'",520,1,2011,0,9.34913906880157,3,2458.0205431,159000
"13","'185591510148'",520,2,2011,1,9.30402230567073,2,2746.5400664,NA
"14","'187029960143'",520,2,2011,1,9.35436539552661,3,3121.5183938,NA
"15","'188029160149'",520,1,2011,0,9.69787439441058,8,2275.5554202,130000
"16","'188029320149'",520,1,2011,0,9.29171911567966,2,2650.8222921,250000
"17","'188029800140'",520,1,2011,0,9.47644834805299,6,2759.2676855,250000
"18","'189029180146'",520,1,2011,0,9.85532001066352,9,2719.4340472,700000
"19","'189029340146'",520,1,2011,0,9.74181852406618,8,2672.0250531,450000
"20","'189075680142'",520,1,2011,0,9.43820347988666,5,4066.0900328,59000
"21","'189164170142'",520,1,2011,0,9.39622055089431,4,2838.2090304,150000
"22","'189934990143'",520,1,2011,0,9.54525725897775,7,2785.4069632,138000
"23","'200029230103'",520,1,2011,0,9.44657292830849,5,3019.5801843,115000
"24","'201102320141'",520,1,2011,0,9.66469766913521,8,2227.2102263,225000
"25","'202934950140'",520,1,2011,0,9.53429267926417,7,2299.3783786,120000
"26","'203092360145'",520,1,2011,0,9.34649144869667,3,2627.4178772,170000
"27","'205649930144'",520,1,2011,0,9.72488076658211,8,2422.0212394,325000
"28","'206092170145'",520,2,2011,1,9.55768733898038,7,1990.1655585,NA
"29","'206727550146'",520,2,2011,1,9.28768208131322,2,2737.6531615,NA
"30","'208348180148'",520,2,2011,1,9.46439233746514,6,2433.3955946,NA
"31","'285029420149'",520,1,2011,0,9.36257401026131,4,3252.7028496,100000
"32","'286029440146'",520,2,2011,1,9.03206986967861,0,2716.3749841,NA
"33","'286649040144'",520,1,2011,0,9.06482381040775,0,2441.1843233,150000
"34","'287029870143'",520,2,2011,1,9.21213826562503,1,2319.8688075,NA
"35","'287092810148'",520,2,2011,1,8.76573127925342,0,2433.0865861,NA
"36","'287591620142'",520,2,2011,1,9.75658435767965,9,3038.6317959,NA
"37","'288029710140'",520,1,2011,0,9.29032970141811,2,3410.5774141,45000
"38","'288934960146'",520,1,2011,0,9.28059805682805,2,2624.2610306,100000
"39","'289075740242'",520,2,2011,1,9.25920947940497,1,2386.8607859,NA
"40","'289092770142'",520,2,2011,1,8.9205142530785,0,1874.108946,NA
"41","'289092930142'",520,2,2011,1,8.82311845009646,0,2280.3830258,NA
"42","'289591000145'",520,1,2011,0,9.52564627077848,7,2785.4069632,120000
